koi_period,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol,koi_steff,koi_slogg,koi_srad,koi_disposition
1.283251,2.012261,1961.318203,2.558112,923.6720985,172.0252913,3855.0,4.68499,0.560391,FALSE POSITIVE
1.2284388,1.9190118,1229.4965125,1.866263,841.1003116,118.2802346,3526.0,4.71105,0.53023,FALSE POSITIVE
2.6998294,2.208,2798.0,4.94551,1639.0,1198.41,6180.0,4.57956,0.92,CONFIRMED
0.581322,1.3261177,3206.6010016,2.2014886,952.4881815,194.5178158,3446.0,4.83941,0.38621,FALSE POSITIVE
0.980972,0.5405036,6178.392421,5.9162923,1320.951709,719.5629045,4486.0,4.49914,0.764401,CONFIRMED
1.4412175,1.666,12927.0,17.0442,1626.0,1160.55,5672.9,4.13,1.46,FALSE POSITIVE
3.9152737,2.562,3350.0,9.43435,1170.0,311.498,5714.0,4.05,1.58,CONFIRMED
3.1968838,3.7533697,7958.980656,14.9685779,1671.1249287,1843.1329908,6470.0,4.15,1.59715,CONFIRMED
3.9443668,4.8652146,6732.488454,14.5727196,1461.6208264,1078.5986988,5494.0,3.93,1.75475,CONFIRMED
3.93034,3.667,9724.58,14.8838,,815.91,6292.0,,1.37,FALSE POSITIVE
4.5371361,4.042155,4199.7558754,9.8153513,1326.6264827,732.0077048,5731.0,4.1,1.48668,CONFIRMED
5.929405,3.719,16410.0,,,,,,,FALSE POSITIVE
14.3392144,4.6064739,392.6346872,2.2963233,841.9410276,118.7538488,6295.7,4.438,1.1374201,CONFIRMED
6.0964074,2.3632965,1142.4891745,2.5856853,737.3642914,69.8633506,4820.4,4.6,0.731699,CONFIRMED
1.56029,2.751,1690.0,18.4825,3900.0,38412.5,6897.0,3.89,2.29,FALSE POSITIVE
8.8735214,4.059,1949.0,6.0401,1591.0,1064.98,5992.0,4.34,1.18,FALSE POSITIVE
7.8513774,6.699,21571.0,,,,,,,FALSE POSITIVE
7.6869063,4.652,4500.0,23.7824,1409.0,655.022,5147.3,,3.07,FALSE POSITIVE
1.3797091,2.352,1320.0,22.2329,3626.0,28702.5,5924.0,3.68,2.67,FALSE POSITIVE
1.49861,2.871,2188.61,,4828.0,90202.8,8590.0,4.12,,FALSE POSITIVE
2.6796,2.771,7590.0,11.8862,1492.0,823.434,5938.0,4.23,1.32,FALSE POSITIVE
11.0765063,4.692,4400.0,12.8076,1033.0,189.348,6460.0,4.0,1.86,FALSE POSITIVE
0.6193401,1.514,1853.0,8.84136,,55990.1,7812.5,,1.79,FALSE POSITIVE
2.6400663,3.368,1328.0,18.2671,2611.0,7719.64,5155.0,,2.72,FALSE POSITIVE
2.5778717,3.472,1010.0,18.687,4400.0,62241.5,8321.0,3.75,3.16,FALSE POSITIVE
3.80509,3.347,1280.0,8.57193,1644.0,1214.11,6555.5,3.83,2.35,FALSE POSITIVE
2.99041,3.952,1290.0,24.2511,4252.0,54264.3,8542.0,3.66,3.56,FALSE POSITIVE
0.890967,1.784,1100.0,2.89678,2099.0,3225.32,5159.2,4.5,0.87,FALSE POSITIVE
2.1096805,2.1344043,1309.7297126,3.6396725,1284.923458,644.2138136,5673.0,4.55383,0.940806,CONFIRMED
1.19888,1.558,1169.03,20.5525,2172.0,3694.96,7315.0,,5.46,FALSE POSITIVE
2.03905,2.26,430.0,6.42307,3550.0,26394.8,9003.0,3.94,2.68,FALSE POSITIVE
2.9424142,4.073,1400.0,9.70968,3452.0,23595.1,6854.0,4.1,1.79,FALSE POSITIVE
1.0793011,2.196,1562.0,3.31116,2612.0,7736.05,4349.3,4.62,0.67,FALSE POSITIVE
